,start_value,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,std_p1,std_p2,std_p3,std_p4,std_p5,std_p6,std_p7,std_p8,std_p9,std_p10,rss
11,11,0.484076322,0.292253342,1,0.197730666,0,0,0.19242191,0.195293518,0,0,0.073556505,0.09548571,0.041380397,0.05489368,0.112456223,0.040848323,0.023738107,0.095552306,0.105428325,0.100000207,9.734387629
12,12,0.483779883,0.298293603,1,0.196853002,0,0,0.193121258,0.190229649,0,0,0.073569922,0.095503127,0.041387944,0.054903692,0.112476735,0.040855774,0.023742437,0.095569736,0.105447555,0.100018447,9.737939076
13,13,0.48459998,0.299583264,1,0.193867549,0,0,0.19289891,0.193532622,0,0,0.073590016,0.095529212,0.041399249,0.054918689,0.112507456,0.040866933,0.023748922,0.095595839,0.105476356,0.100045766,9.743259349
14,14,0.484129608,0.299512337,1,0.192751594,0,0,0.193127861,0.194776138,0,0,0.073597889,0.095539431,0.041403678,0.054924564,0.112519492,0.040871304,0.023751462,0.095606065,0.10548764,0.100056468,9.745344022
15,15,0.484229005,0.29617875,1,0.192698523,0,0,0.192407075,0.201672488,0,0,0.073604702,0.095548276,0.041407511,0.054929649,0.112529908,0.040875088,0.023753661,0.095614915,0.105497405,0.10006573,9.747148453
16,16,0.48412791,0.298968685,1,0.192522464,0,0,0.192876225,0.197232004,0,0,0.073604261,0.095547703,0.041407263,0.054929319,0.112529234,0.040874843,0.023753519,0.095614343,0.105496773,0.100065131,9.747031626
17,17,0.484195466,0.300162924,1,0.192598652,0,0,0.192368978,0.197055832,0,0,0.073606118,0.095550114,0.041408307,0.054930705,0.112532073,0.040875874,0.023754118,0.095616755,0.105499434,0.100067655,9.747523398
18,18,0.484286067,0.320664902,1,0.191289816,0,0,0.190766583,0.182322309,0,0,0.073677981,0.095643401,0.041448735,0.054984335,0.112641939,0.040915782,0.02377731,0.095710107,0.105602435,0.100165353,9.766565987
19,19,0.484191817,0.323585692,1,0.191443393,0,0,0.191107956,0.177401162,0,0,0.07367901,0.095644737,0.041449314,0.054985103,0.112643513,0.040916354,0.023777642,0.095711444,0.10560391,0.100166752,9.766838891
20,20,0.483610776,0.327701641,1,0.190845454,0,0,0.191056177,0.172228294,0,0,0.073687861,0.095656227,0.041454293,0.054991708,0.112657046,0.040921269,0.023780498,0.095722945,0.105616597,0.100178785,9.769185725
21,21,0.483694807,0.326885745,1,0.190918256,0,0,0.191069284,0.174569467,0,0,0.073695234,0.095665797,0.041458441,0.054997211,0.112668316,0.040925363,0.023782877,0.095732519,0.105627164,0.100188808,9.771140534
22,22,0.464126049,0.457094388,1,0.178273559,0,0,0.18437669,0,0,0,0.074435274,0.096626463,0.041874762,0.055549487,0.113799721,0.041336332,0.024021703,0.096693856,0.106687861,0.101194894,9.968367557
23,23,0.464310642,0.459249225,1,0.178299391,0,0,0.183878371,0,0,0,0.074482229,0.096687417,0.041901178,0.055584528,0.113871508,0.041362407,0.024036856,0.096754852,0.106755162,0.10125873,9.980948032
24,24,0.464278455,0.459522781,1,0.17826963,0,0,0.183924299,0,0,0,0.074489583,0.096696965,0.041905315,0.055590018,0.113882752,0.041366492,0.02403923,0.096764406,0.106765704,0.101268729,9.98291922
25,25,0.464229905,0.46016381,1,0.178220245,0,0,0.184005698,0,0,0,0.074506603,0.096719058,0.04191489,0.055602718,0.113908772,0.041375943,0.024044722,0.096786515,0.106790098,0.101291867,9.987481597
26,26,0.462316778,0.462581744,1,0.177300741,0,0,0.183862738,0,0,0,0.074565831,0.096795944,0.041948209,0.055646919,0.113999322,0.041408834,0.024063836,0.096863454,0.106874989,0.101372387,10.00336663
27,27,0.462337852,0.462619248,1,0.177303609,0,0,0.183898585,0,0,0,0.074567246,0.096797781,0.041949005,0.055647975,0.114001486,0.04140962,0.024064293,0.096865292,0.106877017,0.101374311,10.00374637
28,28,0.462036008,0.46507783,1,0.177030532,0,0,0.184056656,0,0,0,0.074633474,0.096883752,0.041986263,0.055697399,0.114102737,0.041446398,0.024085666,0.096951324,0.106971941,0.101464347,10.02152406
