
Similarity
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Tyennan Element,144,0.49267655569544955,0.05424033128302159,0.48366571511896,0.8327042266415295,0.4118081320736603,0.12696592135072793,0.7086833142182561,0.8105720638918057,0.36354385963646657,0.8598956678023684,0.9994423907638486,0.8737409034463453,0.5147748763768146
Forest Conglomerant (Togari Group),231,0.6273510085822721,0.07107359705733905,0.5376279046509712,0.8761011513465227,0.5160384269704318,0.16804781366981786,0.7844137202752146,0.8644325620997821,0.46824028290159625,0.8893086252417796,0.8737409034463453,0.9994423907638488,0.5790323614670785
Stitt Quartzite,35,0.4103001206649694,0.10161502977127641,0.47533795514148963,0.5278410873175183,0.35681642576725353,0.08161345405287518,0.7076928511777428,0.6742359489162297,0.5340598007538772,0.7212193454650051,0.5147748763768146,0.5790323614670785,0.9994423907638487

Likeness
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Wynyard Formation,583,1.0,0.10496305808193274,0.3691479069474858,0.4492443268523584,0.5608339631926436,0.13008375863739507,0.39416564714274704,0.3453725788001928,0.3522752576888397,0.33454766598881314,0.2523192159357386,0.3504860482350274,0.20365296076255035
Devonian-Carboniferous Granitoids,77,0.10496305808193274,1.0,0.05699035404221375,0.051061844111790156,0.04396167931144057,0.004522627619140462,0.04990301521223728,0.04605573281887998,0.04658423784993604,0.04844085022026812,0.030198667330371798,0.0489145128845212,0.04485171418625111
Mount Read Volcanics,272,0.3691479069474858,0.05699035404221375,1.0,0.32383864027620346,0.25394181446118,0.045252911908614024,0.39199347684861496,0.3650241854604328,0.2246070188632393,0.35117206951276436,0.26380482784481774,0.31868999962403743,0.26988519418371026
Oonah Formation,285,0.4492443268523584,0.051061844111790156,0.32383864027620346,1.0,0.30596500095858714,0.07109103970520114,0.44185825236412546,0.6167826058362447,0.2227162839891521,0.6736587992033637,0.6840767206309604,0.7215151813938221,0.30285948717367983
Luina Group,121,0.5608339631926436,0.04396167931144057,0.25394181446118,0.30596500095858714,1.0,0.1815870865206658,0.3463612951024282,0.285288133812883,0.33514402023090983,0.26104494517763654,0.20304461533620255,0.2765648028568709,0.18175230270719978
Crimson Creek Formation,304,0.13008375863739507,0.004522627619140462,0.045252911908614024,0.07109103970520114,0.1815870865206658,1.0,0.04589285451435354,0.04598045175841625,0.017581913391780835,0.046531391785602616,0.03269397178560829,0.05388010705803814,0.026133206000654274
